teams,winner
"Riven,Kindred,Leblanc,AurelionSol,Leona,Darius,Gragas,Yone,MonkeyKing,Senna",0
"Yuumi,Ekko,Nilah,Ahri,Fiora,Darius,Khazix,Galio,Ashe,Blitzcrank",1
"Sett,Zilean,Nilah,AurelionSol,Belveth,Ornn,Udyr,Yone,Aphelios,Karma",0
"Yasuo,Karma,Nilah,Aatrox,RekSai,Illaoi,TahmKench,Syndra,Senna,Volibear",1
"Sion,Pantheon,Ryze,Xayah,Rakan,Renekton,Swain,Nilah,Kindred,Sylas",1
"Aatrox,RekSai,Taliyah,Ezreal,Lux,Olaf,Kindred,Karma,AurelionSol,Rell",1
"Rumble,Briar,Sylas,Smolder,Alistar,Olaf,Elise,Lux,Zeri,Camille",1
"Akshan,Seraphine,Fiora,Shaco,Rumble,Jayce,Kayn,Lux,Kaisa,Nami",1
"Irelia,Kindred,Azir,Sivir,Janna,TwistedFate,Kayn,Cassiopeia,Zeri,Seraphine",1
"Morgana,Hecarim,Viktor,Smolder,Senna,Azir,Taliyah,Zed,Ezreal,Nautilus",1
"Camille,FiddleSticks,Leblanc,Smolder,Blitzcrank,KSante,Viego,Hwei,Zeri,Soraka",0
"Aatrox,LeeSin,Azir,Jinx,Rakan,Ornn,Belveth,Zed,AurelionSol,Nautilus",1
"Illaoi,Khazix,Hwei,Zeri,Lulu,Garen,RekSai,Nilah,Karthus,Nautilus",0
"Yone,Khazix,Katarina,Lucian,Nami,Illaoi,RekSai,Irelia,AurelionSol,Zyra",1
"Jax,Sejuani,Tristana,AurelionSol,Alistar,Illaoi,Volibear,Taliyah,Xerath,Nautilus",1
"RekSai,Renekton,Orianna,Kaisa,Nautilus,Jax,Udyr,Yone,Smolder,Bard",0
"Kayle,XinZhao,Akali,Ashe,Seraphine,Shen,Kalista,Sylas,MonkeyKing,Renata",1
"Shen,Taliyah,Akshan,Ezreal,Janna,Mordekaiser,Briar,Ryze,Varus,Camille",0
"AurelionSol,Aatrox,Rell,Zeri,Kayn,Hwei,Graves,Jayce,Maokai,Smolder",0
"Sivir,AurelionSol,Nautilus,Tryndamere,Viego,Kayn,Veigar,Ezreal,Trundle,Yuumi",0
"Gnar,XinZhao,Jinx,Nautilus,Veigar,Sivir,AurelionSol,Rell,Tryndamere,Viego",1
"Fizz,Jayce,Blitzcrank,Xayah,Vi,Sivir,AurelionSol,Rell,Tryndamere,Viego",1
"Blitzcrank,Camille,Kaisa,Hwei,Nocturne,Sivir,AurelionSol,Rell,Tryndamere,Viego",1
"Braum,Ornn,Hwei,Lucian,Nocturne,Karthus,AurelionSol,Nautilus,Gangplank,Viego",1
"Graves,Lissandra,Volibear,Smolder,Seraphine,Sivir,AurelionSol,Maokai,Gangplank,Viego",1
"KSante,LeeSin,Viego,Hwei,Nautilus,Cassiopeia,JarvanIV,AurelionSol,Zeri,Yuumi",1
"Karma,Graves,Syndra,KogMaw,Alistar,Jayce,Khazix,AurelionSol,Hwei,Poppy",1
"Fiora,Shaco,AurelionSol,Ezreal,Ashe,Yone,Rengar,Ahri,MissFortune,Zyra",1
"Riven,Vi,Lux,Vayne,Ashe,Aatrox,Nunu,Azir,Tristana,Camille",1
"Udyr,LeeSin,AurelionSol,Tristana,Alistar,Aatrox,Maokai,Gragas,Senna,Janna",0
"Zac,Briar,Veigar,Draven,Ashe,Olaf,RekSai,AurelionSol,Kalista,Leona",0
"Cassiopeia,MonkeyKing,Yone,Smolder,Rakan,Jax,RekSai,Malzahar,Yasuo,Janna",0
"Aatrox,Brand,Hwei,Smolder,Camille,Jayce,Rengar,AurelionSol,KogMaw,Zilean",1
"Renekton,MonkeyKing,Lux,Karthus,Senna,Vayne,Viego,AurelionSol,Seraphine,Karma",1
"Renekton,Evelynn,Tristana,Senna,Rammus,Gragas,Khazix,Ahri,Caitlyn,Rakan",1
"Aatrox,Kindred,AurelionSol,Senna,TahmKench,Gragas,Khazix,Qiyana,Sivir,Fizz",0
"Kennen,Khazix,Riven,Kaisa,Thresh,Renekton,Diana,AurelionSol,Kalista,Fizz",0
"Fiora,Rumble,AurelionSol,Qiyana,Maokai,Urgot,Volibear,Ahri,Caitlyn,TahmKench",0
"DrMundo,Diana,Yone,Caitlyn,Seraphine,Illaoi,Karthus,AurelionSol,Sivir,Senna",0
"Sett,Khazix,Ahri,Zeri,Janna,Poppy,Evelynn,AurelionSol,Nautilus,Senna",1
"Shen,Vi,Katarina,Vayne,Senna,Sett,LeeSin,AurelionSol,Kalista,Leona",1
"Garen,Kindred,AurelionSol,Zeri,Yuumi,Darius,Gragas,Yasuo,MissFortune,Pyke",1
"Aatrox,Volibear,Yasuo,Karthus,Janna,AurelionSol,Kayn,Gragas,Lucian,Milio",0
"Darius,Kayn,Hwei,Sivir,Zyra,Renekton,LeeSin,Akali,Kaisa,Pyke",0
"Aatrox,Kindred,Sylas,Ashe,Braum,Vayne,Graves,AurelionSol,Senna,Thresh",1
"Darius,Shaco,AurelionSol,Jhin,Sylas,Jayce,Warwick,Karma,Twitch,Nautilus",0
"Senna,Vayne,Belveth,Karma,Leona,Karthus,Camille,Gangplank,Talon,Twitch",1
"Chogath,Kaisa,Braum,Nidalee,Irelia,AurelionSol,Maokai,Gangplank,Viego,Twitch",1
"Gwen,Jayce,Shen,Janna,Ashe,Ahri,Camille,Tryndamere,Briar,Twitch",1
"Zac,JarvanIV,Qiyana,Jinx,Ashe,Gangplank,Orianna,LeeSin,Senna,Janna",0
"TahmKench,Karthus,Akshan,Kaisa,Camille,Janna,Belveth,Naafiri,Ashe,Ahri",0
"Aatrox,Karthus,Qiyana,Yasuo,Nautilus,MonkeyKing,Graves,Akali,Kaisa,Pyke",0
"Renekton,Kindred,Vex,Ezreal,Neeko,Urgot,Ivern,Ahri,Smolder,Rakan",0
